Send,Send
Contacts,Contacts
Settings,Settings
"User Guide","User Guide"
"Change Log","Change Log"
"Get Support","Get Support"
"Delete contact success.","Delete contact success."
"An error occurred !!!","An error occurred !!!"
"Contact not exists.","Contact not exists."
"Magezon contact","Magezon contact"
"Info Contact","Info Contact"
"A total of %1 record(s) have been enable.","A total of %1 record(s) have been enable."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disable.","A total of %1 record(s) have been disable."
"Something is wrong with this field!","Something is wrong with this field!"
"Reply mail a success.","Reply mail a success."
"Reply mail a error.","Reply mail a error."
Answered,Answered
Pending,Pending
Closed,Closed
Edit,Edit
Delete,Delete
"* Required Fields","* Required Fields"
"Write Us","Write Us"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
Name,Name
Email,Email
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
Submit,Submit
%titlEmail.,%titlEmail.
%templateVar,%templateVar
"Thank you.","Thank you."
"Send Email","Send Email"
"Delete Contact","Delete Contact"
"Advanced Contact Settings","Advanced Contact Settings"
"Advanced Contact Form","Advanced Contact Form"
General,General
"Current Version","Current Version"
Enable,Enable
"Icon Load Form","Icon Load Form"
Auto-responder,Auto-responder
"Email Template","Email Template"
"Enable Google captcha","Enable Google captcha"
"Tag Information","Tag Information"
Back,Back
"Info contact","Info contact"
"Customer Name","Customer Name"
Phone,Phone
Content,Content
"Reply email","Reply email"
"Title email","Title email"
"Are you sure you want to answered selected items?","Are you sure you want to answered selected items?"
"Are you sure you want to peding selected items?","Are you sure you want to peding selected items?"
"Pending items","Pending items"
"Are you sure you want to close selected items?","Are you sure you want to close selected items?"
"Closed items","Closed items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
ID,ID
Telephone,Telephone
"Store View","Store View"
Comment,Comment
Status,Status
"Created Date","Created Date"
Actions,Actions
