"As low as","Price"
"Excluding Tax","Excluding VAT"
"Including Tax","Including VAT"
"Order Total Excl. Tax","Order Total Excl. VAT"
"Order Total Incl. Tax","Order Total Incl. VAT"
"Grand Total Excl. Tax","Grand Total Excl. VAT"
"Grand Total Incl. Tax","Grand Total Incl. VAT"
"Excl. tax:","Excl. VAT:"
"Incl. Tax","Incl. VAT"
"Shipping (Excl. Tax)","Shipping (Excl. VAT)"
"Shipping (Incl. Tax)","Shipping (Incl. VAT)"
"Subtotal (Excl. Tax)","Subtotal (Excl. VAT)"
"Subtotal (Incl. Tax)","Subtotal (Incl. VAT)"
"Tax","VAT"
"Estimate Tax","Estimate VAT"
"Estimate Shipping and Tax","Estimate Shipping and VAT"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"Zip/Postal Code","Makani Number"
"Shipping & Handling","Shipping"
"Phone Number","Mobile Number +971"
"Company","Location Type"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our shop page in 5 seconds."
"We received your order!","We haven't received your order! please try again"
"Rewards Discount","Majlis Discount"
"My Reward Points", "My Majlis Points"
